hour,Weekend,Weekday
0,5090,4646
1,3491,2248
2,2457,1219
3,1425,690
4,810,2510
5,1040,7788
6,2004,22573
7,4652,43023
8,7849,54343
9,11928,27913
10,14734,21197
11,16809,23049
12,17017,26747
13,16929,26935
14,16160,29276
15,16160,36294
16,16331,47016
17,16252,72901
18,14884,68736
19,12922,47368
20,9790,31775
21,7400,22879
22,5898,16415
23,4729,10591
