area_type,hour,Weekend,Weekday
Commercial,0,4683,4159
Commercial,1,3207,2052
Commercial,2,2326,1157
Commercial,3,1357,671
Commercial,4,777,2399
Commercial,5,1012,7376
Commercial,6,1892,20931
Commercial,7,4314,39411
Commercial,8,7100,49609
Commercial,9,10847,25634
Commercial,10,13379,19317
Commercial,11,15214,21051
Commercial,12,15398,24609
Commercial,13,15398,24750
Commercial,14,14649,26948
Commercial,15,14547,33633
Commercial,16,14816,43722
Commercial,17,14760,67792
Commercial,18,13565,63439
Commercial,19,11804,43359
Commercial,20,8952,28797
Commercial,21,6738,20905
Commercial,22,5364,15096
Commercial,23,4335,9850
Residential,0,407,487
Residential,1,284,196
Residential,2,131,62
Residential,3,68,19
Residential,4,33,111
Residential,5,28,412
Residential,6,112,1642
Residential,7,338,3612
Residential,8,749,4734
Residential,9,1081,2279
Residential,10,1355,1880
Residential,11,1595,1998
Residential,12,1619,2138
Residential,13,1531,2185
Residential,14,1511,2328
Residential,15,1613,2661
Residential,16,1515,3294
Residential,17,1492,5109
Residential,18,1319,5297
Residential,19,1118,4009
Residential,20,838,2978
Residential,21,662,1974
Residential,22,534,1319
Residential,23,394,741
