member_casual,hour,周末,工作日
casual,0,58535,68737
casual,1,44935,39474
casual,2,31991,24202
casual,3,21185,14623
casual,4,13792,13475
casual,5,8531,24188
casual,6,13492,57117
casual,7,23967,111518
casual,8,41906,169065
casual,9,74406,166756
casual,10,114268,170257
casual,11,152889,199096
casual,12,180800,233362
casual,13,195189,253134
casual,14,204258,288531
casual,15,206481,316811
casual,16,197356,338520
casual,17,175897,393067
casual,18,153831,383802
casual,19,124553,303900
casual,20,91585,220301
casual,21,71135,173235
casual,22,62487,154402
casual,23,53675,120481
member,0,151078,202830
member,1,106559,106262
member,2,71558,63928
member,3,47267,43511
member,4,31262,53868
member,5,27877,186518
member,6,58962,543814
member,7,111293,1149711
member,8,187606,1715085
member,9,287863,1256903
member,10,371790,895026
member,11,440584,895774
member,12,487440,1012785
member,13,505405,1077164
member,14,514843,1205319
member,15,521657,1360592
member,16,515313,1603055
member,17,491091,2148027
member,18,457747,2014395
member,19,382807,1476391
member,20,287511,1035974
member,21,225830,765036
member,22,187654,599872
member,23,151053,412592
