hour,周末,工作日
0,209613,271567
1,151494,145736
2,103549,88130
3,68452,58134
4,45054,67343
5,36408,210706
6,72454,600931
7,135260,1261229
8,229512,1884150
9,362269,1423659
10,486058,1065283
11,593473,1094870
12,668240,1246147
13,700594,1330298
14,719101,1493850
15,728138,1677403
16,712669,1941575
17,666988,2541094
18,611578,2398197
19,507360,1780291
20,379096,1256275
21,296965,938271
22,250141,754274
23,204728,533073
