area_type,hour,周末,工作日
住宅区,0,62579,96386
住宅区,1,41424,53642
住宅区,2,27510,33863
住宅区,3,18609,24092
住宅区,4,14194,31081
住宅区,5,15464,104769
住宅区,6,33912,263005
住宅区,7,58899,552685
住宅区,8,91517,728593
住宅区,9,137079,518075
住宅区,10,175513,393937
住宅区,11,209904,417009
住宅区,12,236972,483375
住宅区,13,248597,523532
住宅区,14,260260,610332
住宅区,15,264420,693728
住宅区,16,260481,802869
住宅区,17,243047,1025604
住宅区,18,219010,890620
住宅区,19,180649,634350
住宅区,20,136214,448055
住宅区,21,106649,335176
住宅区,22,89100,263520
住宅区,23,69849,181476
商业区,0,147034,175181
商业区,1,110070,92094
商业区,2,76039,54267
商业区,3,49843,34042
商业区,4,30860,36262
商业区,5,20944,105937
商业区,6,38542,337926
商业区,7,76361,708544
商业区,8,137995,1155557
商业区,9,225190,905584
商业区,10,310545,671346
商业区,11,383569,677861
商业区,12,431268,762772
商业区,13,451997,806766
商业区,14,458841,883518
商业区,15,463718,983675
商业区,16,452188,1138706
商业区,17,423941,1515490
商业区,18,392568,1507577
商业区,19,326711,1145941
商业区,20,242882,808220
商业区,21,190316,603095
商业区,22,161041,490754
商业区,23,134879,351597
