route,count
Washington St & Laight St → Greenwich St & Hubert St,3351
Greenwich St & Hubert St → Washington St & Laight St,2587
Greenwich St & Hubert St → North Moore St & Greenwich St,2211
N Moore St & Hudson St → North Moore St & Greenwich St,1913
North Moore St & Greenwich St → Vesey St & Church St,1891
