route,count
North Moore St & Greenwich St → Vesey St & Church St,2277
E 77 St & 1 Ave → E 77 St & 3 Ave,1486
1 Ave & E 62 St → 1 Ave & E 68 St,1453
Vesey St & Church St → North Moore St & Greenwich St,1448
Vernon Blvd & 50 Ave → Franklin St & Dupont St,1391
