route,count
River Ter & Warren St → Vesey Pl & River Terrace,2469
North Moore St & Greenwich St → Vesey St & Church St,2317
11 Ave & W 59 St → W 59 St & 10 Ave,2096
Yankee Ferry Terminal → Soissons Landing,2014
Soissons Landing → Yankee Ferry Terminal,1959
