route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1138
1 Ave & E 62 St → 1 Ave & E 68 St,906
Clinton St & Grand St → Henry St & Grand St,797
Norfolk St & Broome St → Henry St & Grand St,792
1 Ave & E 68 St → 1 Ave & E 78 St,729
