route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1939
West St & Chambers St → Pier 40 - Hudson River Park,1319
Motorgate → Roosevelt Island Tramway,1311
Roosevelt Island Tramway → Motorgate,1299
N 6 St & Bedford Ave → S 4 St & Wythe Ave,1289
