route,count
Roosevelt Island Tramway → Motorgate,1350
W 21 St & 6 Ave → 9 Ave & W 22 St,1336
1 Ave & E 62 St → 1 Ave & E 68 St,1291
Motorgate → Roosevelt Island Tramway,1204
Pier 40 - Hudson River Park → West St & Chambers St,1093
