route,count
Central Park S & 6 Ave → 5 Ave & E 87 St,1518
Yankee Ferry Terminal → Soissons Landing,1206
12 Ave & W 40 St → 10 Ave & W 14 St,1140
10 Ave & W 14 St → West St & Chambers St,1136
Southpoint Park → Roosevelt Island Tramway,1128
