route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,2944
1 Ave & E 62 St → 1 Ave & E 68 St,2694
Norfolk St & Broome St → Henry St & Grand St,2323
North Moore St & Greenwich St → Vesey St & Church St,2130
Henry St & Grand St → Norfolk St & Broome St,2063
