route,count
Central Park S & 6 Ave → 5 Ave & E 87 St,1483
7 Ave & Central Park South → 5 Ave & E 87 St,1076
12 Ave & W 40 St → 10 Ave & W 14 St,1069
Yankee Ferry Terminal → Soissons Landing,1056
Southpoint Park → Roosevelt Island Tramway,1042
