route,count
12 Ave & W 40 St → West St & Chambers St,2284
12 Ave & W 40 St → Pier 40 - Hudson River Park,2049
Pier 40 - Hudson River Park → 12 Ave & W 40 St,1797
West St & Chambers St → 12 Ave & W 40 St,1795
1 Ave & E 62 St → 1 Ave & E 68 St,1753
