route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1279
E 7 St & Avenue A → Cooper Square & Astor Pl,1038
E 32 St & Park Ave → E 33 St & 1 Ave,993
W 22 St & 10 Ave → W 22 St & 8 Ave,972
1 Ave & E 62 St → 1 Ave & E 68 St,917
