route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1663
12 Ave & W 40 St → West St & Chambers St,1656
1 Ave & E 62 St → 1 Ave & E 68 St,1511
Picnic Point → Soissons Landing,1476
Roosevelt Island Tramway → Motorgate,1464
