route,count
12 Ave & W 40 St → West St & Chambers St,1131
West St & Chambers St → 12 Ave & W 40 St,998
12 Ave & W 40 St → Pier 40 - Hudson River Park,896
Pier 40 - Hudson River Park → 12 Ave & W 40 St,832
1 Ave & E 62 St → 1 Ave & E 68 St,798
