route,count
River Ter & Warren St → Vesey Pl & River Terrace,3579
W 21 St & 6 Ave → 9 Ave & W 22 St,2864
Norfolk St & Broome St → Henry St & Grand St,2658
Henry St & Grand St → Norfolk St & Broome St,2652
North Moore St & Greenwich St → Vesey St & Church St,2495
