route,count
Central Park S & 6 Ave → 5 Ave & E 87 St,1859
Southpoint Park → Roosevelt Island Tramway,1439
Central Park S & 6 Ave → Central Park North & Adam Clayton Powell Blvd,1332
7 Ave & Central Park South → 5 Ave & E 87 St,1298
12 Ave & W 40 St → 10 Ave & W 14 St,1056
