route,count
McGinley Square → Bergen Ave & Sip Ave,574
Grove St PATH → Liberty Light Rail,527
Grove St PATH → Marin Light Rail,520
Bergen Ave & Sip Ave → McGinley Square,514
Liberty Light Rail → Grove St PATH,492
