route,count
Hoboken Terminal - Hudson St & Hudson Pl → Hoboken Ave at Monmouth St,970
McGinley Square → Bergen Ave & Sip Ave,860
Grove St PATH → Marin Light Rail,793
Marin Light Rail → Grove St PATH,718
Bergen Ave & Sip Ave → McGinley Square,712
