route,count
Hoboken Terminal - Hudson St & Hudson Pl → Hoboken Ave at Monmouth St,1403
Grove St PATH → Marin Light Rail,1310
Marin Light Rail → Grove St PATH,1247
Grove St PATH → Liberty Light Rail,1234
Hoboken Ave at Monmouth St → Hoboken Terminal - Hudson St & Hudson Pl,1213
