route,count
12 Ave & W 40 St → West St & Chambers St,929
Central Park S & 6 Ave → 5 Ave & E 88 St,886
12 Ave & W 40 St → Pier 40 - Hudson River Park,879
West St & Chambers St → 12 Ave & W 40 St,711
Pier 40 - Hudson River Park → 12 Ave & W 40 St,683
