route,count
1 Ave & E 62 St → 1 Ave & E 68 St,2339
W 21 St & 6 Ave → 9 Ave & W 22 St,2292
12 Ave & W 40 St → West St & Chambers St,1761
West St & Chambers St → Pier 40 - Hudson River Park,1547
W 22 St & 10 Ave → W 22 St & 8 Ave,1531
