member_casual,hour,周末,工作日
casual,0,73936,84744
casual,1,57338,49352
casual,2,44184,29426
casual,3,27762,17474
casual,4,16295,14992
casual,5,9014,24317
casual,6,13239,61296
casual,7,21795,114040
casual,8,40715,177580
casual,9,71891,168397
casual,10,117419,174650
casual,11,161938,208194
casual,12,197396,248940
casual,13,216786,277843
casual,14,227067,313445
casual,15,224329,344137
casual,16,218245,367767
casual,17,198453,429684
casual,18,175116,440185
casual,19,143838,353839
casual,20,103640,249503
casual,21,79460,190927
casual,22,71482,169891
casual,23,63664,143171
member,0,100309,130289
member,1,70188,64730
member,2,47980,37713
member,3,30051,25007
member,4,19424,31891
member,5,17076,119761
member,6,42809,388012
member,7,81288,754703
member,8,140041,1078737
member,9,213953,809467
member,10,287709,642838
member,11,349461,667724
member,12,386473,764135
member,13,395792,814465
member,14,400416,894483
member,15,398443,974245
member,16,389960,1121299
member,17,366465,1423447
member,18,333502,1391493
member,19,272480,1019953
member,20,192929,672343
member,21,143010,462176
member,22,117704,362762
member,23,97038,260007
