hour,周末,工作日
0,174245,215033
1,127526,114082
2,92164,67139
3,57813,42481
4,35719,46883
5,26090,144078
6,56048,449308
7,103083,868743
8,180756,1256317
9,285844,977864
10,405128,817488
11,511399,875918
12,583869,1013075
13,612578,1092308
14,627483,1207928
15,622772,1318382
16,608205,1489066
17,564918,1853131
18,508618,1831678
19,416318,1373792
20,296569,921846
21,222470,653103
22,189186,532653
23,160702,403178
