route,count
North Moore St & Greenwich St → Vesey St & Church St,2332
Vesey St & Church St → North Moore St & Greenwich St,1879
River Ter & Warren St → Vesey Pl & River Terrace,1847
Yankee Ferry Terminal → Soissons Landing,1836
W 21 St & 6 Ave → 9 Ave & W 22 St,1766
