route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1395
1 Ave & E 62 St → 1 Ave & E 68 St,1297
North Moore St & Greenwich St → Vesey St & Church St,1228
Vesey St & Church St → North Moore St & Greenwich St,1139
Vernon Blvd & 50 Ave → Franklin St & Dupont St,964
