route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1181
1 Ave & E 62 St → 1 Ave & E 68 St,1005
Norfolk St & Broome St → Henry St & Grand St,993
Henry St & Grand St → Norfolk St & Broome St,914
W 21 St & 6 Ave → W 22 St & 10 Ave,732
