route,count
Yankee Ferry Terminal → Soissons Landing,2446
Soissons Landing → Yankee Ferry Terminal,2272
1 Ave & E 62 St → 1 Ave & E 68 St,1871
West St & Chambers St → Pier 40 - Hudson River Park,1863
Pier 40 - Hudson River Park → West St & Chambers St,1773
