route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1926
North Moore St & Greenwich St → Vesey St & Church St,1808
1 Ave & E 62 St → 1 Ave & E 68 St,1507
N 6 St & Bedford Ave → S 4 St & Wythe Ave,1441
W 21 St & 6 Ave → W 22 St & 10 Ave,1383
