route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,1471
1 Ave & E 62 St → 1 Ave & E 68 St,1443
West St & Chambers St → Pier 40 - Hudson River Park,1404
Pier 40 - Hudson River Park → West St & Chambers St,1330
Norfolk St & Broome St → Henry St & Grand St,1245
