hour,周末,工作日
0,270519,350085
1,189557,183602
2,128094,110645
3,85849,73383
4,56973,86769
5,47250,263050
6,93593,759179
7,174049,1598106
8,296285,2430733
9,469482,1815398
10,633406,1327413
11,767044,1353278
12,863106,1525074
13,904910,1619883
14,927686,1814013
15,931190,2060835
16,893897,2403753
17,843980,3224398
18,791134,3004025
19,660157,2220696
20,498291,1590962
21,389954,1183691
22,332889,957577
23,274860,684876
