area_type,hour,周末,工作日
住宅区,0,75947,120614
住宅区,1,49060,64718
住宅区,2,31303,39949
住宅区,3,21288,28190
住宅区,4,16569,36590
住宅区,5,19603,123761
住宅区,6,41830,321975
住宅区,7,72747,676792
住宅区,8,114130,913230
住宅区,9,169863,635166
住宅区,10,217116,478039
住宅区,11,258613,505993
住宅区,12,291169,577763
住宅区,13,305952,618769
住宅区,14,315925,717824
住宅区,15,318816,826221
住宅区,16,308412,971661
住宅区,17,288050,1264286
住宅区,18,263842,1058836
住宅区,19,219979,741925
住宅区,20,166777,533728
住宅区,21,130497,395488
住宅区,22,110520,314169
住宅区,23,87114,220934
商业区,0,194572,229471
商业区,1,140497,118884
商业区,2,96791,70696
商业区,3,64561,45193
商业区,4,40404,50179
商业区,5,27647,139289
商业区,6,51763,437204
商业区,7,101302,921314
商业区,8,182155,1517503
商业区,9,299619,1180232
商业区,10,416290,849374
商业区,11,508431,847285
商业区,12,571937,947311
商业区,13,598958,1001114
商业区,14,611761,1096189
商业区,15,612374,1234614
商业区,16,585485,1432092
商业区,17,555930,1960112
商业区,18,527292,1945189
商业区,19,440178,1478771
商业区,20,331514,1057234
商业区,21,259457,788203
商业区,22,222369,643408
商业区,23,187746,463942
