hour,周末,工作日
0,187057,231485
1,137412,122211
2,96127,73383
3,62049,47128
4,40182,54006
5,30569,169985
6,63007,507096
7,116786,1038354
8,201172,1520017
9,321208,1156672
10,441164,900025
11,533724,939999
12,596281,1069895
13,629457,1145116
14,644463,1273379
15,649661,1429470
16,633203,1648638
17,596443,2094072
18,543132,2018179
19,454377,1496608
20,336672,1037163
21,254959,761252
22,215028,623613
23,175352,451483
