area_type,hour,周末,工作日
住宅区,0,54409,84918
住宅区,1,36910,45689
住宅区,2,24334,28736
住宅区,3,16252,19983
住宅区,4,12981,25416
住宅区,5,13749,86346
住宅区,6,31291,235160
住宅区,7,53146,461254
住宅区,8,83950,589975
住宅区,9,127625,425944
住宅区,10,167505,342223
住宅区,11,196092,366974
住宅区,12,218667,421924
住宅区,13,230116,458359
住宅区,14,235928,523016
住宅区,15,238572,585944
住宅区,16,233895,683690
住宅区,17,220431,852650
住宅区,18,197191,755272
住宅区,19,163815,540167
住宅区,20,120784,372098
住宅区,21,92658,273827
住宅区,22,78076,219849
住宅区,23,60644,153347
商业区,0,132648,146567
商业区,1,100502,76522
商业区,2,71793,44647
商业区,3,45797,27145
商业区,4,27201,28590
商业区,5,16820,83639
商业区,6,31716,271936
商业区,7,63640,577100
商业区,8,117222,930042
商业区,9,193583,730728
商业区,10,273659,557802
商业区,11,337632,573025
商业区,12,377614,647971
商业区,13,399341,686757
商业区,14,408535,750363
商业区,15,411089,843526
商业区,16,399308,964948
商业区,17,376012,1241422
商业区,18,345941,1262907
商业区,19,290562,956441
商业区,20,215888,665065
商业区,21,162301,487425
商业区,22,136952,403764
商业区,23,114708,298136
