route,count
River Ter & Warren St → Vesey Pl & River Terrace,2297
North Moore St & Greenwich St → Vesey St & Church St,2182
W 21 St & 6 Ave → 9 Ave & W 22 St,1966
Franklin St & Dupont St → Jackson Ave & 49 Ave,1847
Henry St & Grand St → Norfolk St & Broome St,1799
