route,count
River Ter & Warren St → Vesey Pl & River Terrace,2100
1 Ave & E 62 St → 1 Ave & E 68 St,1499
W 21 St & 6 Ave → 9 Ave & W 22 St,1480
Roosevelt Island Tramway → Motorgate,1399
Norfolk St & Broome St → Henry St & Grand St,1384
