member_casual,hour,Weekend,Weekday
casual,0,58532,68738
casual,1,44813,39472
casual,2,31992,24203
casual,3,21182,14623
casual,4,13792,13474
casual,5,8531,24188
casual,6,13493,57114
casual,7,23967,111513
casual,8,41907,169056
casual,9,74402,166752
casual,10,114259,170257
casual,11,152888,199094
casual,12,180795,233355
casual,13,195181,253126
casual,14,204256,288525
casual,15,206477,316790
casual,16,197340,338515
casual,17,175875,393067
casual,18,153826,383798
casual,19,124547,303897
casual,20,91584,220303
casual,21,71132,173231
casual,22,62487,154406
casual,23,53674,120481
member,0,151077,202828
member,1,106353,106262
member,2,71556,63926
member,3,47264,43511
member,4,31262,53867
member,5,27877,186516
member,6,58961,543798
member,7,111291,1149687
member,8,187601,1715036
member,9,287852,1256869
member,10,371781,895014
member,11,440575,895760
member,12,487424,1012780
member,13,505398,1077156
member,14,514837,1205305
member,15,521642,1360571
member,16,515299,1603036
member,17,491086,2147987
member,18,457744,2014361
member,19,382804,1476363
member,20,287509,1035966
member,21,225830,765032
member,22,187653,599870
member,23,151052,412591
