area_type,hour,Weekend,Weekday
Commercial,0,147032,175181
Commercial,1,109820,92093
Commercial,2,76039,54265
Commercial,3,49840,34042
Commercial,4,30860,36260
Commercial,5,20944,105936
Commercial,6,38543,337918
Commercial,7,76359,708530
Commercial,8,137992,1155527
Commercial,9,225184,905565
Commercial,10,310537,671339
Commercial,11,383566,677849
Commercial,12,431257,762771
Commercial,13,451986,806757
Commercial,14,458835,883505
Commercial,15,463709,983650
Commercial,16,452171,1138694
Commercial,17,423922,1515470
Commercial,18,392564,1507555
Commercial,19,326705,1145925
Commercial,20,242881,808217
Commercial,21,190313,603090
Commercial,22,161041,490756
Commercial,23,134877,351597
Residential,0,62577,96385
Residential,1,41346,53641
Residential,2,27509,33864
Residential,3,18606,24092
Residential,4,14194,31081
Residential,5,15464,104768
Residential,6,33911,262994
Residential,7,58899,552670
Residential,8,91516,728565
Residential,9,137070,518056
Residential,10,175503,393932
Residential,11,209897,417005
Residential,12,236962,483364
Residential,13,248593,523525
Residential,14,260258,610325
Residential,15,264410,693711
Residential,16,260468,802857
Residential,17,243039,1025584
Residential,18,219006,890604
Residential,19,180646,634335
Residential,20,136212,448052
Residential,21,106649,335173
Residential,22,89099,263520
Residential,23,69849,181475
