hour,Weekend,Weekday
0,209609,271566
1,151166,145734
2,103548,88129
3,68446,58134
4,45054,67341
5,36408,210704
6,72454,600912
7,135258,1261200
8,229508,1884092
9,362254,1423621
10,486040,1065271
11,593463,1094854
12,668219,1246135
13,700579,1330282
14,719093,1493830
15,728119,1677361
16,712639,1941551
17,666961,2541054
18,611570,2398159
19,507351,1780260
20,379093,1256269
21,296962,938263
22,250140,754276
23,204726,533072
