route,count
W 21 St & 6 Ave → 9 Ave & W 22 St,2980
1 Ave & E 62 St → 1 Ave & E 68 St,2228
Clinton St & Grand St → Henry St & Grand St,1965
Norfolk St & Broome St → Henry St & Grand St,1772
E 27 St & 1 Ave → E 25 St & 2 Ave,1740
