route,count
Soissons Landing → Picnic Point,1025
Picnic Point → Soissons Landing,1013
Yankee Ferry Terminal → Soissons Landing,998
Central Park S & 6 Ave → 5 Ave & E 72 St,968
Central Park S & 6 Ave → Central Park North & Adam Clayton Powell Blvd,916
